id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
1972,1584926671446343680,https://twitter.com/Dediy_orlando/statuses/1584926671446343680,https://twitter.com/Dediy_orlando/statuses/1584926671446343680,Dediy_orlando,"RT @RK_JabarJuara: Berikut berita yang hangat dibicarakan di Kota Kabupaten di Jawa Barat Pada hari ini. 

@ridwankamil https://t.co/102uU4…","Berikut berita yang hangat dibicarakan di Kota Kabupaten di Jawa Barat Pada hari ini. 

@ridwankamil https://t.co/102uU4aJAP",2022-10-25 11:15:39,Twitter for Android,0,2,in,,retweet,,0,0,RK_JabarJuara,635416067,1584920868999659520,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1973,1584926653851238400,https://twitter.com/Dediy_orlando/statuses/1584926653851238400,https://twitter.com/Dediy_orlando/statuses/1584926653851238400,Dediy_orlando,RT @RK_JabarJuara: @ridwankamil https://t.co/sAMG18CX4P,@ridwankamil https://t.co/sAMG18CX4P,2022-10-25 11:15:35,Twitter for Android,0,2,und,,retweet,,0,0,RK_JabarJuara,635416067,1584920885332693000,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1974,1584926637451513862,https://twitter.com/Dediy_orlando/statuses/1584926637451513862,https://twitter.com/Dediy_orlando/statuses/1584926637451513862,Dediy_orlando,RT @RK_JabarJuara: @ridwankamil https://t.co/4cojMc7jzO,@ridwankamil https://t.co/4cojMc7jzO,2022-10-25 11:15:31,Twitter for Android,0,1,und,,retweet,,0,0,RK_JabarJuara,635416067,1584920909545996288,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1975,1584926627624259588,https://twitter.com/Dediy_orlando/statuses/1584926627624259588,https://twitter.com/Dediy_orlando/statuses/1584926627624259588,Dediy_orlando,RT @RK_JabarJuara: @ridwankamil https://t.co/dbknqVnqex,@ridwankamil https://t.co/dbknqVnqex,2022-10-25 11:15:29,Twitter for Android,0,1,und,,retweet,,0,0,RK_JabarJuara,635416067,1584920896677892096,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1976,1584926617008496642,https://twitter.com/Dediy_orlando/statuses/1584926617008496642,https://twitter.com/Dediy_orlando/statuses/1584926617008496642,Dediy_orlando,RT @RK_JabarJuara: @ridwankamil https://t.co/waK3R9O8TX,@ridwankamil https://t.co/waK3R9O8TX,2022-10-25 11:15:26,Twitter for Android,0,2,und,,retweet,,0,0,RK_JabarJuara,635416067,1584920920979742721,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1977,1584926606556270592,https://twitter.com/Dediy_orlando/statuses/1584926606556270592,https://twitter.com/Dediy_orlando/statuses/1584926606556270592,Dediy_orlando,"RT @RK_JabarJuara: #Ridwankamil #RKJabarjuara #JabarJuara #IndonesiaJuara #SeputarJawaBarat 

 @ridwankamil https://t.co/EApehjVQh5","#Ridwankamil #RKJabarjuara #JabarJuara #IndonesiaJuara #SeputarJawaBarat 

 @ridwankamil https://t.co/EApehjVQh5",2022-10-25 11:15:24,Twitter for Android,0,1,und,,retweet,,0,0,RK_JabarJuara,635416067,1584920933193551872,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1978,1584926218394050561,https://twitter.com/evildance_/statuses/1584926218394050561,https://twitter.com/evildance_/statuses/1584926218394050561,evildance_,@ridwankamil Enya,@ridwankamil Enya,2022-10-25 11:13:51,Twitter for iPhone,1,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,1334004184799010818,https://pbs.twimg.com/profile_images/1561297651991072768/s35fKmZL_normal.jpg,32267,330,237,2020-12-02 00:19:41,Live Well ~ Love Much ~ Laugh Often,Saritem,
1979,1584925991952343040,https://twitter.com/Dediy_orlando/statuses/1584925991952343040,https://twitter.com/Dediy_orlando/statuses/1584925991952343040,Dediy_orlando,RT @ridwankamil: Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp;…,"Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp; aksi2 kecil di level warga.

Hayu ber-urban farming bagi warga perkotaan. Gunakan halamannya utk bercocok tanam sederhana untuk keperluan dapur. #JabarJuara https://t.co/4TUV0GlxzN",2022-10-25 11:12:57,Twitter for Android,0,70,in,,retweet,,0,0,ridwankamil,80323736,1584923380377346049,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
1980,1584925930606448642,https://twitter.com/aslamnatsir/statuses/1584925930606448642,https://twitter.com/aslamnatsir/statuses/1584925930606448642,aslamnatsir,Hade pak Gub @ridwankamil tinggal diGenjot deui weh masyarakat https://t.co/95UFBjeJBG,Hade pak Gub @ridwankamil tinggal diGenjot deui weh masyarakat https://t.co/95UFBjeJBG,2022-10-25 11:12:43,Twitter for Android,1,1,in,"Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp; aksi2 kecil di level warga.

Hayu ber-urban farming bagi warga perkotaan. Gunakan halamannya utk bercocok tanam sederhana untuk keperluan dapur. #JabarJuara https://t.co/4TUV0GlxzN",quote,ridwankamil,80323736,1584923380377346049,,0,0,599220227,https://pbs.twimg.com/profile_images/1534908173781372928/Ys7j2RdQ_normal.jpg,2191,367,228,2012-06-04 08:57:34,"From Paris Van Java tea ningan                                         “The world is merciless, and it's also very beautiful.”","Bandung, Indonesia",
1981,1584925912927465474,https://twitter.com/FebriTambun_/statuses/1584925912927465474,https://twitter.com/FebriTambun_/statuses/1584925912927465474,FebriTambun_,"RT @ridwankamil: Permohonan Maaf Kepada Warga Palembang. 

Jika poin diskusi Studi Pembangunan di Jababeka terkait studi2 kasus transportas…","Permohonan Maaf Kepada Warga Palembang. 

Jika poin diskusi Studi Pembangunan di Jababeka terkait studi2 kasus transportasi dianggap kurang berkenan. Kutipan media tidak menampilkan urutan keseluruhan diskusinya secara utuh sehingga disalahpahami. https://t.co/6TCMWIgRVD",2022-10-25 11:12:38,Twitter for Android,0,1507,in,,retweet,,0,0,ridwankamil,80323736,1584443550221369344,4890816252,https://pbs.twimg.com/profile_images/1354634707040751619/43pa64xA_normal.jpg,20672,389,276,2016-02-10 22:35:01,Ga perlu nunggu yang ga pasti,"DKI Jakarta, Indonesia",
