id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
873,1605211400305278977,"https://twitter.com/Danayataaa/statuses/1605211400305278977","https://twitter.com/Danayataaa/statuses/1605211400305278977","Danayataaa","@futkiaw @baiquelah @FadiaNurin @ridwankamil bisa tepat waktu dan aman #bersamajuara #ridwankamil","@futkiaw @baiquelah @FadiaNurin @ridwankamil bisa tepat waktu dan aman #bersamajuara #ridwankamil","2022-12-20 09:39:55","Twitter Web App",0,0,"in","","reply","futkiaw",624553983,1605195699284774912,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
874,1605211296684978177,"https://twitter.com/Danayataaa/statuses/1605211296684978177","https://twitter.com/Danayataaa/statuses/1605211296684978177","Danayataaa","@Ahda_snsd39 @baiquelah @FadiaNurin @ridwankamil duh, itu tidorr bossku #bersamajuara #ridwankamil","@Ahda_snsd39 @baiquelah @FadiaNurin @ridwankamil duh, itu tidorr bossku #bersamajuara #ridwankamil","2022-12-20 09:39:31","Twitter Web App",0,0,"in","","reply","Ahda_snsd39",1258757450,1605208424366878721,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
875,1605210996335083521,"https://twitter.com/Danayataaa/statuses/1605210996335083521","https://twitter.com/Danayataaa/statuses/1605210996335083521","Danayataaa","@FadiaNurin @ridwankamil semoga ga molor ya kang Emil #bersamajuara #ridwankamil","@FadiaNurin @ridwankamil semoga ga molor ya kang Emil #bersamajuara #ridwankamil","2022-12-20 09:38:19","Twitter Web App",0,0,"in","","reply","FadiaNurin",3039453836,1605012137189191680,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
876,1605210941674913793,"https://twitter.com/Danayataaa/statuses/1605210941674913793","https://twitter.com/Danayataaa/statuses/1605210941674913793","Danayataaa","Yakin tepat waktu proyek KCJB nya! #bersamajuara #ridwankamil https://t.co/mb4SgVvdVS","Yakin tepat waktu proyek KCJB nya! #bersamajuara #ridwankamil https://t.co/mb4SgVvdVS","2022-12-20 09:38:06","Twitter Web App",0,0,"in","Gubernur Jawa Barat, Ridwan Kamil berharap proyek Kereta Cepat Jakarta-Bandung (KCJB) tidak molor atau tepat sesuai target operasional di bulan Juni 2023 @ridwankamil  https://t.co/7xHIagUfKT  #BersamaJuara","quote","FadiaNurin",3039453836,1605012137189191680,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
877,1605210252005478400,"https://twitter.com/Danayataaa/statuses/1605210252005478400","https://twitter.com/Danayataaa/statuses/1605210252005478400","Danayataaa","@S_Anjania1 @DesyaDrs1 @Leeeronica betul sekali #bersamajuara #ridwankamil","@S_Anjania1 @DesyaDrs1 @Leeeronica betul sekali #bersamajuara #ridwankamil","2022-12-20 09:35:22","Twitter Web App",0,0,"in","","reply","S_Anjania1",1393556827095240709,1603775541337010176,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
878,1605210180924624896,"https://twitter.com/Danayataaa/statuses/1605210180924624896","https://twitter.com/Danayataaa/statuses/1605210180924624896","Danayataaa","@S_Anjania1 @DesyaDrs1 @Aggus1299 @Leeeronica eceran kalo ini mah #bersamajuara #ridwankamil","@S_Anjania1 @DesyaDrs1 @Aggus1299 @Leeeronica eceran kalo ini mah #bersamajuara #ridwankamil","2022-12-20 09:35:05","Twitter Web App",0,0,"in","","reply","S_Anjania1",1393556827095240709,1603775803539742720,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
879,1605210063354093575,"https://twitter.com/Danayataaa/statuses/1605210063354093575","https://twitter.com/Danayataaa/statuses/1605210063354093575","Danayataaa","@S_Anjania1 @AlefPaz10 @DesyaDrs1 @Aggus1299 @Leeeronica mahal sekarang #bersamajuara #ridwankamil","@S_Anjania1 @AlefPaz10 @DesyaDrs1 @Aggus1299 @Leeeronica mahal sekarang #bersamajuara #ridwankamil","2022-12-20 09:34:37","Twitter Web App",0,0,"in","","reply","S_Anjania1",1393556827095240709,1603775836792197120,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
880,1605209726811508736,"https://twitter.com/Danayataaa/statuses/1605209726811508736","https://twitter.com/Danayataaa/statuses/1605209726811508736","Danayataaa","@dheaputrinabila @ridwankamil yakin beneran? #bersamajuara #ridwankamil","@dheaputrinabila @ridwankamil yakin beneran? #bersamajuara #ridwankamil","2022-12-20 09:33:16","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604511498516451328,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
881,1605209658045927425,"https://twitter.com/Danayataaa/statuses/1605209658045927425","https://twitter.com/Danayataaa/statuses/1605209658045927425","Danayataaa","@dheaputrinabila bisa jadi #bersamajuara #ridwankamil","@dheaputrinabila bisa jadi #bersamajuara #ridwankamil","2022-12-20 09:33:00","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604511636408406017,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
882,1605209596834217985,"https://twitter.com/Danayataaa/statuses/1605209596834217985","https://twitter.com/Danayataaa/statuses/1605209596834217985","Danayataaa","@dheaputrinabila @ridwankamil masih ragu? #bersamajuara #ridwankamil","@dheaputrinabila @ridwankamil masih ragu? #bersamajuara #ridwankamil","2022-12-20 09:32:45","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604512818304540676,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
